Printout for SDDS file BunchHaissinski.sdds

       z             rfV         rfHamilton  
       m              V                      
---------------------------------------------
 -1.169190e-02  -8.652840e+05   1.136360e+00 
 -1.139210e-02  -8.424220e+05   1.078230e+00 
 -1.109230e-02  -8.195940e+05   1.021660e+00 
 -1.079250e-02  -7.967980e+05   9.666310e-01 
 -1.049270e-02  -7.740360e+05   9.131580e-01 
 -1.019290e-02  -7.513070e+05   8.612330e-01 
 -9.893150e-03  -7.286120e+05   8.108550e-01 
 -9.593360e-03  -7.059510e+05   7.620200e-01 
 -9.293570e-03  -6.833240e+05   7.147280e-01 
 -8.993770e-03  -6.607310e+05   6.689740e-01 
 -8.693980e-03  -6.381730e+05   6.247580e-01 
 -8.394190e-03  -6.156490e+05   5.820760e-01 
 -8.094400e-03  -5.931610e+05   5.409270e-01 
 -7.794600e-03  -5.707070e+05   5.013070e-01 
 -7.494810e-03  -5.482890e+05   4.632150e-01 
 -7.195020e-03  -5.259070e+05   4.266480e-01 
 -6.895230e-03  -5.035610e+05   3.916030e-01 
 -6.595430e-03  -4.812510e+05   3.580790e-01 
 -6.295640e-03  -4.589770e+05   3.260730e-01 
 -5.995850e-03  -4.367390e+05   2.955810e-01 
 -5.696060e-03  -4.145390e+05   2.666030e-01 
 -5.396260e-03  -3.923750e+05   2.391340e-01 
 -5.096470e-03  -3.702490e+05   2.131730e-01 
 -4.796680e-03  -3.481600e+05   1.887180e-01 
 -4.496890e-03  -3.261080e+05   1.657650e-01 
 -4.197090e-03  -3.040950e+05   1.443120e-01 
 -3.897300e-03  -2.821190e+05   1.243570e-01 
 -3.597510e-03  -2.601820e+05   1.058960e-01 
 -3.297720e-03  -2.382830e+05   8.892750e-02 
 -2.997920e-03  -2.164230e+05   7.344870e-02 
 -2.698130e-03  -1.946020e+05   5.945680e-02 
 -2.398340e-03  -1.728200e+05   4.694930e-02 
 -2.098550e-03  -1.510780e+05   3.592330e-02 
 -1.798750e-03  -1.293750e+05   2.637640e-02 
 -1.498960e-03  -1.077120e+05   1.830560e-02 
 -1.199170e-03  -8.608850e+04   1.170840e-02 
 -8.993770e-04  -6.450550e+04   6.582010e-03 
 -5.995850e-04  -4.296290e+04   2.923640e-03 
 -2.997920e-04  -2.146100e+04   7.305620e-04 
