87    7.4  7.4  9.49045e-05  4.06759e-05  0  0  
88    7.6  7.6  9.74695e-05  4.17752e-05  0  0  
89    7.8  7.8  0.000100034  4.28746e-05  0  0  
90    8  8  0.000102599  4.39739e-05  0  0  
91    8.2  8.2  0.000105164  4.50733e-05  0  0  
92    8.4  8.4  0.000107729  4.61726e-05  0  0  
93    8.6  8.6  0.000110294  4.7272e-05  0  0  
94    8.8  8.8  0.000112859  4.83713e-05  0  0  
95    9  9  0.000115424  4.94706e-05  0  0  
96    9.2  9.2  0.000117989  5.057e-05  0  0  
97    9.4  9.4  0.000120554  5.16693e-05  0  0  
98    9.6  9.6  0.000123119  5.27687e-05  0  0  
99    9.8  9.8  0.000125684  5.3868e-05  0  0  
