Frequency [Hz]	Re(Zydip) [Ohm/m]	Im(Zydip) [Ohm/m]
1.00000000e-06 2.39055993e-05 3.99723286e+04
1.00000000e-05 2.15358725e-04 3.99723286e+04
1.00000000e-05 2.15358725e-04 3.99723286e+04
1.05008936e-05 2.25617707e-04 3.99723286e+04
1.10268767e-05 2.36364098e-04 3.99723286e+04
1.15792060e-05 2.47620986e-04 3.99723286e+04
1.21592010e-05 2.59412551e-04 3.99723286e+04
1.47528801e-05 3.11812163e-04 3.99723286e+04
1.78998169e-05 3.74762926e-04 3.99723286e+04
2.39482004e-05 4.94221392e-04 3.99723286e+04
3.20403446e-05 6.51620776e-04 3.99723286e+04
3.87746182e-05 7.80966397e-04 3.99723286e+04
4.69243086e-05 9.35897967e-04 3.99723286e+04
9.50118726e-05 1.82601476e-03 3.99723285e+04
1.92379093e-04 3.55762217e-03 3.99723283e+04
2.05814903e-04 3.79178792e-03 3.99723283e+04
2.20189074e-04 4.04130918e-03 3.99723283e+04
5.00754766e-04 8.76732734e-03 3.99723278e+04
1.13881825e-03 1.89757156e-02 3.99723268e+04
2.05298172e-03 3.29629861e-02 3.99723253e+04
3.70097154e-03 5.71787750e-02 3.99723227e+04
5.75620149e-03 8.63148446e-02 3.99723193e+04
8.95274529e-03 1.30177782e-01 3.99723142e+04
2.77952285e-02 3.71750237e-01 3.99722837e+04
8.62947286e-02 1.05354407e+00 3.99721891e+04
1.05790471e-01 1.26938436e+00 3.99721576e+04
1.29690700e-01 1.52897724e+00 3.99721190e+04
3.47230981e-01 3.74171806e+00 3.99717674e+04
9.29668461e-01 9.07576724e+00 3.99708262e+04
2.72973368e+00 2.36230606e+01 3.99679195e+04
8.01516482e+00 6.04814779e+01 3.99593997e+04
8.95967368e+00 6.65821369e+01 3.99578794e+04
1.00154837e+01 7.32808299e+01 3.99561807e+04
3.10946697e+01 1.91312206e+02 3.99224183e+04
9.65383711e+01 4.81927431e+02 3.98191473e+04
2.68123112e+02 1.06041582e+03 3.95572036e+04
7.44678019e+02 2.19080834e+03 3.88796420e+04
7.51770286e+02 2.20475910e+03 3.88700197e+04
7.58930099e+02 2.21878063e+03 3.88603180e+04
1.84650314e+03 3.85946832e+03 3.75079738e+04
4.49260589e+03 6.05618415e+03 3.48946953e+04
9.09658365e+03 7.86460069e+03 3.16101756e+04
1.84186720e+04 9.23785320e+03 2.72861080e+04
2.98217386e+04 9.70526218e+03 2.39409403e+04
4.82844853e+04 9.72202637e+03 2.05111220e+04
6.15184863e+04 9.56801074e+03 1.88212723e+04
7.83797142e+04 9.31878077e+03 1.71850972e+04
8.23057043e+04 9.25816142e+03 1.68631686e+04
8.64283447e+04 9.19435773e+03 1.65443108e+04
8.85664680e+04 9.16130162e+03 1.63860713e+04
9.07574856e+04 9.12749750e+03 1.62286440e+04
9.30027060e+04 9.09296160e+03 1.60720428e+04
9.53034703e+04 9.05771025e+03 1.59162811e+04
1.04977108e+05 8.91156105e+03 1.53085575e+04
1.15632653e+05 8.75549407e+03 1.47148946e+04
1.33749645e+05 8.50407635e+03 1.38489513e+04
1.54705155e+05 8.23595425e+03 1.30178997e+04
1.70188402e+05 8.05279885e+03 1.24927699e+04
1.87221248e+05 7.86481985e+03 1.19833262e+04
2.66406695e+05 7.14171692e+03 1.02369315e+04
3.79083718e+05 6.40297826e+03 8.70422608e+03
3.92097980e+05 6.33264606e+03 8.56841183e+03
4.05559032e+05 6.26247615e+03 8.43444464e+03
6.11601780e+05 5.42880766e+03 6.94649949e+03
9.22323776e+05 4.65145522e+03 5.70158846e+03
1.23836519e+06 4.13859468e+03 4.94091620e+03
1.66270066e+06 3.66675249e+03 4.27757302e+03
2.07359620e+06 3.34064041e+03 3.83753875e+03
2.58603447e+06 3.03797330e+03 3.44157885e+03
4.55660434e+06 2.36440408e+03 2.59977272e+03
8.02875728e+06 1.82531519e+03 1.96164774e+03
8.88954374e+06 1.74112487e+03 1.86463692e+03
9.84261762e+06 1.66050983e+03 1.77238970e+03
9.93635809e+06 1.65318447e+03 1.76403828e+03
1.00309913e+07 1.64588894e+03 1.75572595e+03
1.62585589e+07 1.31140072e+03 1.37997897e+03
2.63524043e+07 1.04167172e+03 1.08437975e+03
4.51560904e+07 8.03491440e+02 8.28617518e+02
7.73770956e+07 6.18352990e+02 6.33107264e+02
8.18092275e+07 6.01763799e+02 6.15726444e+02
8.64952303e+07 5.85609090e+02 5.98822385e+02
1.52404984e+08 4.43628775e+02 4.51163244e+02
2.68538265e+08 3.35609821e+02 3.39901343e+02
4.47531203e+08 2.60721926e+02 2.63303496e+02
7.45831055e+08 2.02413205e+02 2.03965129e+02
7.49374263e+08 2.01937782e+02 2.03482389e+02
7.52934304e+08 2.01463467e+02 2.03000792e+02
8.37680698e+08 1.91076839e+02 1.92459027e+02
9.31965709e+08 1.81222001e+02 1.82464653e+02
1.30663006e+09 1.53214399e+02 1.54101050e+02
1.83191516e+09 1.29514302e+02 1.30146323e+02
2.60672582e+09 1.08660700e+02 1.09103665e+02
3.70924356e+09 9.11541229e+01 9.14632484e+01
4.71978999e+09 8.08423106e+01 8.10829436e+01
6.00564972e+09 7.16946964e+01 7.18807223e+01
6.77889670e+09 6.74943629e+01 6.76571577e+01
7.65170174e+09 6.35398433e+01 6.36817647e+01
7.84099475e+09 6.27704409e+01 6.29084086e+01
8.03497062e+09 6.20103492e+01 6.21444444e+01
8.13375072e+09 6.16337600e+01 6.17659486e+01
8.23374519e+09 6.12594566e+01 6.13897581e+01
8.33496898e+09 6.08874253e+01 6.10158588e+01
