Printout for SDDS file twiss.twi

       s            betax          betay           etax           etay     
       m              m              m              m              m       
---------------------------------------------------------------------------
  2.017144e+01   3.940158e+00   7.135939e+00   1.221015e-04   0.000000e+00 
  2.022144e+01   3.493273e+00   7.564143e+00   1.130092e-04   0.000000e+00 
  2.042144e+01   2.233590e+00   8.577391e+00   8.161931e-05   0.000000e+00 
  2.046844e+01   2.034817e+00   8.629620e+00   7.529267e-05   0.000000e+00 
  2.046844e+01   2.034817e+00   8.629620e+00   7.529267e-05   0.000000e+00 
  2.046844e+01   2.034817e+00   8.629620e+00   7.529267e-05   0.000000e+00 
  2.077144e+01   1.093037e+00   8.533010e+00   7.034909e-04   0.000000e+00 
  2.107444e+01   6.445159e-01   7.627632e+00   2.671244e-03   0.000000e+00 
  2.107444e+01   6.445159e-01   7.627632e+00   2.671244e-03   0.000000e+00 
  2.137744e+01   5.935817e-01   6.134079e+00   5.988376e-03   0.000000e+00 
  2.168044e+01   9.231702e-01   4.378620e+00   1.065805e-02   0.000000e+00 
  2.168044e+01   9.231702e-01   4.378620e+00   1.065805e-02   0.000000e+00 
  2.172471e+01   1.004461e+00   4.123458e+00   1.144132e-02   0.000000e+00 
  2.172471e+01   1.004461e+00   4.123458e+00   1.144132e-02   0.000000e+00 
  2.176971e+01   1.094770e+00   3.872917e+00   1.223739e-02   0.000000e+00 
  2.204971e+01   1.310493e+00   3.781586e+00   1.463704e-02   0.000000e+00 
  2.209671e+01   1.277079e+00   4.008053e+00   1.458558e-02   0.000000e+00 
  2.236771e+01   1.193389e+00   5.324822e+00   1.484680e-02   0.000000e+00 
  2.263871e+01   1.302698e+00   6.520687e+00   1.623387e-02   0.000000e+00 
  2.263871e+01   1.302698e+00   6.520687e+00   1.623387e-02   0.000000e+00 
  2.290971e+01   1.617587e+00   7.460566e+00   1.878641e-02   0.000000e+00 
  2.318071e+01   2.174298e+00   8.038292e+00   2.257734e-02   0.000000e+00 
  2.318071e+01   2.174298e+00   8.038292e+00   2.257734e-02   0.000000e+00 
  2.322771e+01   2.297771e+00   8.103007e+00   2.334797e-02   0.000000e+00 
  2.333771e+01   2.733637e+00   7.857727e+00   2.574729e-02   0.000000e+00 
  2.341271e+01   3.153350e+00   7.431562e+00   2.780285e-02   0.000000e+00 
  2.341271e+01   3.153350e+00   7.431562e+00   2.780285e-02   0.000000e+00 
  2.341271e+01   3.153350e+00   7.431562e+00   2.780285e-02   0.000000e+00 
  2.365971e+01   4.774520e+00   6.122459e+00   3.457249e-02   0.000000e+00 
  2.382971e+01   6.103252e+00   5.305601e+00   3.923176e-02   0.000000e+00 
  2.382971e+01   6.103252e+00   5.305601e+00   3.923176e-02   0.000000e+00 
  2.382971e+01   6.103252e+00   5.305601e+00   3.923176e-02   0.000000e+00 
  2.382971e+01   6.103252e+00   5.305601e+00   3.923176e-02   0.000000e+00 
  2.420271e+01   9.627056e+00   3.753723e+00   4.945474e-02   0.000000e+00 
  2.429271e+01   1.060248e+01   3.428736e+00   5.192141e-02   0.000000e+00 
  2.435971e+01   1.136022e+01   3.199286e+00   5.375771e-02   0.000000e+00 
  2.446971e+01   1.200332e+01   3.011372e+00   5.527472e-02   0.000000e+00 
  2.454471e+01   1.200131e+01   3.003207e+00   5.527835e-02   0.000000e+00 
  2.479171e+01   1.200131e+01   3.002845e+00   5.529028e-02   0.000000e+00 
  2.486671e+01   1.200332e+01   3.010791e+00   5.529390e-02   0.000000e+00 
  2.497671e+01   1.136022e+01   3.198339e+00   5.378689e-02   0.000000e+00 
  2.504371e+01   1.060248e+01   3.427523e+00   5.195625e-02   0.000000e+00 
  2.513371e+01   9.627057e+00   3.752130e+00   4.949718e-02   0.000000e+00 
  2.534671e+01   7.512431e+00   4.596864e+00   4.367738e-02   0.000000e+00 
  2.549671e+01   6.186821e+00   5.256287e+00   3.957894e-02   0.000000e+00 
  2.558451e+01   5.473615e+00   5.667016e+00   3.717998e-02   0.000000e+00 
  2.558451e+01   5.473615e+00   5.667016e+00   3.717998e-02   0.000000e+00 
  2.567671e+01   4.774521e+00   6.118000e+00   3.466080e-02   0.000000e+00 
  2.567671e+01   4.774521e+00   6.118000e+00   3.466080e-02   0.000000e+00 
  2.567671e+01   4.774521e+00   6.118000e+00   3.466080e-02   0.000000e+00 
  2.592371e+01   3.153352e+00   7.425474e+00   2.791202e-02   0.000000e+00 
  2.599871e+01   2.733638e+00   7.851105e+00   2.586280e-02   0.000000e+00 
  2.610871e+01   2.310451e+00   8.054344e+00   2.354089e-02   0.000000e+00 
  2.616671e+01   2.171244e+00   7.931327e+00   2.266591e-02   0.000000e+00 
  2.646971e+01   1.616536e+00   7.091160e+00   1.886040e-02   0.000000e+00 
  2.677271e+01   1.329095e+00   5.922895e+00   1.651519e-02   0.000000e+00 
  2.707571e+01   1.273600e+00   4.567243e+00   1.555878e-02   0.000000e+00 
  2.707571e+01   1.273600e+00   4.567243e+00   1.555878e-02   0.000000e+00 
  2.737871e+01   1.443235e+00   3.187483e+00   1.596200e-02   0.000000e+00 
  2.768171e+01   1.858841e+00   1.949801e+00   1.773716e-02   0.000000e+00 
  2.798471e+01   2.571488e+00   1.003266e+00   2.093836e-02   0.000000e+00 
  2.798471e+01   2.571488e+00   1.003266e+00   2.093836e-02   0.000000e+00 
  2.805421e+01   2.780843e+00   8.414736e-01   2.184291e-02   0.000000e+00 
  2.820421e+01   3.272922e+00   5.766225e-01   2.379516e-02   0.000000e+00 
  2.826571e+01   3.490570e+00   5.013532e-01   2.459558e-02   0.000000e+00 
  2.851571e+01   3.490570e+00   5.017345e-01   2.460515e-02   0.000000e+00 
  2.851571e+01   3.490570e+00   5.017345e-01   2.460515e-02   0.000000e+00 
  2.851571e+01   3.490570e+00   5.017345e-01   2.460515e-02   0.000000e+00 
  2.858321e+01   3.252183e+00   5.856152e-01   2.373169e-02   0.000000e+00 
