Printout for SDDS file result.sdds

    Turns         x_79           y_79     
                   m              m       
------------------------------------------
        150   4.546560e-05  -7.163570e-05 
        151   3.954530e-05   1.023280e-04 
        152  -1.062680e-05   4.676490e-05 
        153  -4.826100e-05  -1.131300e-04 
        154  -3.133650e-05  -1.940580e-05 
        155   2.049260e-05   1.173170e-04 
        156   4.870650e-05  -8.842560e-06 
        157   2.199030e-05  -1.147050e-04 
        158  -2.902620e-05   3.634410e-05 
        159  -4.687900e-05   1.055020e-04 
        160  -1.199090e-05  -6.151970e-05 
        161   3.588550e-05  -9.029440e-05 
        162   4.295970e-05   8.293840e-05 
        163   1.831250e-06   7.001050e-05 
        164  -4.082300e-05  -9.939780e-05 
        165  -3.721990e-05  -4.586240e-05 
        166   8.010880e-06   1.099920e-04 
        167   4.369290e-05   1.927420e-05 
        168   3.000370e-05  -1.141610e-04 
        169  -1.709480e-05   8.201700e-06 
        170  -4.445310e-05   1.117200e-04 
        171  -2.170790e-05  -3.497550e-05 
        172   2.503640e-05  -1.028660e-04 
        173   4.316180e-05   5.951160e-05 
        174   1.276060e-05   8.816280e-05 
        175  -3.152310e-05  -8.041690e-05 
        176  -3.996960e-05  -6.850760e-05 
        177  -3.598820e-06   9.651940e-05 
        178   3.632520e-05   4.507330e-05 
        179   3.510760e-05  -1.069340e-04 
        180  -5.352100e-06  -1.924060e-05 
        181  -3.930200e-05   1.111090e-04 
        182  -2.887150e-05  -7.484440e-06 
        183   1.369830e-05  -1.088600e-04 
        184   4.040350e-05   3.355750e-05 
        185   2.160500e-05   1.003690e-04 
        186  -2.109370e-05  -5.748530e-05 
        187  -3.966770e-05  -8.617760e-05 
        188  -1.368020e-05   7.791110e-05 
        189   2.725360e-05   6.715060e-05 
        190   3.721340e-05  -9.369130e-05 
        191   5.479270e-06  -4.442170e-05 
        192  -3.196410e-05   1.039590e-04 
        193  -3.323010e-05   1.932760e-05 
        194   2.624020e-06  -1.081710e-04 
        195   3.508740e-05   6.670970e-06 
        196   2.796510e-05   1.061380e-04 
        197  -1.028080e-05  -3.207430e-05 
        198  -3.656380e-05  -9.802890e-05 
        199  -2.170810e-05   5.542990e-05 
        200   1.718150e-05   8.435990e-05 
        201   3.640890e-05  -7.541560e-05 
        202   1.477620e-05  -6.596200e-05 
        203  -2.306660e-05   9.091380e-05 
        204  -3.470810e-05   4.392950e-05 
        205  -7.497130e-06  -1.010740e-04 
        206   2.773580e-05  -1.955560e-05 
        207   3.160840e-05   1.053590e-04 
        208   1.945810e-07  -5.744000e-06 
        209  -3.105170e-05  -1.035710e-04 
        210  -2.730720e-05   3.051270e-05 
        211   6.825800e-06   9.586530e-05 
        212   3.294230e-05  -5.333710e-05 
        213   2.204080e-05  -8.273040e-05 
        214  -1.328830e-05   7.292730e-05 
        215  -3.339860e-05   6.496290e-05 
        216  -1.607100e-05  -8.818940e-05 
        217   1.895650e-05  -4.361710e-05 
        218   3.247090e-05   9.828640e-05 
        219   9.672360e-06   1.994270e-05 
        220  -2.364030e-05  -1.026830e-04 
        221  -3.026180e-05   4.688600e-06 
        222  -3.120100e-06   1.011750e-04 
        223   2.720030e-05  -2.886210e-05 
        224   2.691860e-05  -9.389660e-05 
        225  -3.321210e-06   5.120120e-05 
        226  -2.954920e-05   8.130900e-05 
        227  -2.262330e-05  -7.044580e-05 
        228   9.407170e-06  -6.417340e-05 
        229   3.065090e-05   8.552270e-05 
        230   1.758310e-05   4.350330e-05 
        231  -1.492130e-05  -9.560550e-05 
        232  -3.051850e-05  -2.050520e-05 
        233  -1.202070e-05   1.001590e-04 
        234   1.968100e-05  -3.492160e-06 
        235   2.920880e-05  -9.896640e-05 
        236   6.164430e-06   2.711410e-05 
        237  -2.354120e-05   9.214120e-05 
        238  -2.681760e-05  -4.901860e-05 
        239  -2.404010e-07  -8.011520e-05 
        240   2.639630e-05   6.797250e-05 
        241   2.347280e-05   6.361230e-05 
        242  -5.535440e-06  -8.292020e-05 
